candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A4,clean,RX,10,24000,19038,0.79325,22199,0.9249583333333333,18266,0.8228298572007748
A4,clean,RX,11,24000,18672,0.778,22476,0.9365,18159,0.8079284570208222
A4,clean,day,0,42000,31406,0.7477619047619047,38764,0.922952380952381,30205,0.7792023526983799
A4,clean,day,1,42000,33573,0.7993571428571429,39346,0.9368095238095238,32401,0.8234890459004728
A4,clean,day,2,42000,30156,0.718,38018,0.9051904761904762,28966,0.7619022568257141
A4,clean,day,3,42000,33082,0.7876666666666666,37794,0.8998571428571429,31641,0.8371963803778377
A4,clean,RX_TX,0:0,4000,3971,0.99275,3972,0.993,3958,0.9964753272910373
A4,clean,RX_TX,0:1,4000,1102,0.2755,3731,0.93275,948,0.25408737603859555
A4,clean,RX_TX,0:2,4000,2944,0.736,3487,0.87175,2812,0.8064238600516203
A4,clean,RX_TX,0:3,4000,3850,0.9625,3862,0.9655,3779,0.9785085447954428
A4,clean,RX_TX,0:4,4000,3985,0.99625,3984,0.996,3979,0.9987449799196787
A4,clean,RX_TX,0:5,4000,3735,0.93375,3763,0.94075,3636,0.9662503321817698
A4,clean,RX_TX,2:0,4000,3561,0.89025,3789,0.94725,3456,0.9121140142517815
A4,clean,RX_TX,2:1,4000,2350,0.5875,3551,0.88775,2095,0.5899746550267531
A4,clean,RX_TX,2:2,4000,1215,0.30375,2650,0.6625,947,0.35735849056603775
A4,clean,RX_TX,2:3,4000,93,0.02325,3702,0.9255,51,0.013776337115072933
A4,clean,RX_TX,2:4,4000,3996,0.999,3997,0.99925,3995,0.9994996247185389
A4,clean,RX_TX,2:5,4000,3859,0.96475,3819,0.95475,3770,0.9871694160775072
A4,clean,RX_TX,5:0,4000,3222,0.8055,3699,0.92475,3117,0.8426601784266018
A4,clean,RX_TX,5:1,4000,2462,0.6155,3408,0.852,2092,0.613849765258216
A4,clean,RX_TX,5:2,4000,3515,0.87875,3530,0.8825,3346,0.9478753541076487
A4,clean,RX_TX,5:3,4000,3105,0.77625,3702,0.9255,2991,0.8079416531604539
A4,clean,RX_TX,5:4,4000,3997,0.99925,3998,0.9995,3997,0.9997498749374687
A4,clean,RX_TX,5:5,4000,3978,0.9945,3980,0.995,3968,0.9969849246231156
A4,clean,RX_TX,7:0,4000,3635,0.90875,3828,0.957,3543,0.9255485893416928
A4,clean,RX_TX,7:1,4000,2378,0.5945,3698,0.9245,2199,0.5946457544618713
A4,clean,RX_TX,7:2,4000,1933,0.48325,2702,0.6755,1835,0.6791265729089563
