scenario,new_class_count,state,class_role,class_id,accuracy,nll,query_rows
leo_low_elev_weak,3,DA0_REG0,old,2,0.95,0.842301310401013,20
leo_low_elev_weak,3,DA0_REG0,old,3,0.9,0.8552670792155587,20
leo_low_elev_weak,3,DA0_REG0,old,4,0.9,0.972052035192519,20
leo_low_elev_weak,3,DA0_REG0,old,5,0.9,0.646847822840164,20
leo_low_elev_weak,3,DA1_REG0,old,0,0.95,0.7707205403675241,20
leo_low_elev_weak,3,DA1_REG0,old,1,0.8,1.2286274311100958,20
leo_low_elev_weak,3,DA1_REG0,old,2,1.0,0.8608167861761629,20
leo_low_elev_weak,3,DA1_REG0,old,3,0.9,0.9122320068349955,20
leo_low_elev_weak,3,DA1_REG0,old,4,0.95,0.8780803318582526,20
leo_low_elev_weak,3,DA1_REG0,old,5,0.9,0.6505594631777147,20
leo_low_elev_weak,3,DA0_REG1,old,0,0.9,1.083795772942488,20
leo_low_elev_weak,3,DA0_REG1,old,1,0.8,1.5096330152616544,20
leo_low_elev_weak,3,DA0_REG1,old,2,0.85,1.177110820434417,20
leo_low_elev_weak,3,DA0_REG1,old,3,0.85,1.195726659591292,20
leo_low_elev_weak,3,DA0_REG1,old,4,0.8,1.361643644113524,20
leo_low_elev_weak,3,DA0_REG1,old,5,0.85,0.9448314309301378,20
leo_low_elev_weak,3,DA0_REG1,new,6,0.8,1.2200669011633363,20
leo_low_elev_weak,3,DA0_REG1,new,7,0.85,1.0288664736343216,20
leo_low_elev_weak,3,DA0_REG1,new,8,0.85,1.2841481129433832,20
leo_low_elev_weak,3,DA1_REG1,old,0,0.9,1.0835563554468657,20
leo_low_elev_weak,3,DA1_REG1,old,1,0.8,1.5087392033188431,20
leo_low_elev_weak,3,DA1_REG1,old,2,0.85,1.1755765199912256,20
leo_low_elev_weak,3,DA1_REG1,old,3,0.85,1.1934083298941358,20
