method,scene,true_class,predicted_class,count,true_class_count,row_rate
H3,clean,4,2,13,28000,0.0004642857238650322
H3,clean,4,3,305,28000,0.010892856866121292
H3,clean,4,4,27667,28000,0.9881071448326111
H3,clean,4,5,1,28000,3.571428533177823e-05
H3,clean,5,0,0,28000,0.0
H3,clean,5,1,0,28000,0.0
H3,clean,5,2,39,28000,0.0013928571715950966
H3,clean,5,3,1820,28000,0.06499999761581421
H3,clean,5,4,1523,28000,0.05439285561442375
H3,clean,5,5,24618,28000,0.8792142868041992
H3,leo_clear_weak,0,0,5980,28000,0.2135714292526245
H3,leo_clear_weak,0,1,276,28000,0.00985714327543974
